danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.721,0.97,6,-1.715,0,0.0812,0.0443,0.00036,0.121,0.912,136.989,audio_features,6GoxKIpAcVnkR2zQyRa6EF,spotify:track:6GoxKIpAcVnkR2zQyRa6EF,https://api.spotify.com/v1/tracks/6GoxKIpAcVnkR2zQyRa6EF,https://api.spotify.com/v1/audio-analysis/6GoxKIpAcVnkR2zQyRa6EF,186253,4,4
0.603,0.961,3,-2.069,1,0.0636,0.00319,6.09e-06,0.0477,0.549,113.02,audio_features,5G0NPSOTLepHxUhEMlVjWj,spotify:track:5G0NPSOTLepHxUhEMlVjWj,https://api.spotify.com/v1/tracks/5G0NPSOTLepHxUhEMlVjWj,https://api.spotify.com/v1/audio-analysis/5G0NPSOTLepHxUhEMlVjWj,191493,4,3
0.546,0.971,5,-3.451,0,0.0636,0.000132,0.0,0.0731,0.473,104.083,audio_features,0msE3v0pQgGttnlZjrLzWj,spotify:track:0msE3v0pQgGttnlZjrLzWj,https://api.spotify.com/v1/tracks/0msE3v0pQgGttnlZjrLzWj,https://api.spotify.com/v1/audio-analysis/0msE3v0pQgGttnlZjrLzWj,262333,4,3
0.634,0.979,7,-2.061,0,0.121,0.363,1.57e-06,0.354,0.651,142.043,audio_features,5nnIVX0gjyABWN0JYlNOUE,spotify:track:5nnIVX0gjyABWN0JYlNOUE,https://api.spotify.com/v1/tracks/5nnIVX0gjyABWN0JYlNOUE,https://api.spotify.com/v1/audio-analysis/5nnIVX0gjyABWN0JYlNOUE,253133,4,4
0.608,0.749,0,-4.605,1,0.0536,0.00745,0.000297,0.0366,0.821,180.014,audio_features,6z1TvLTR0oOsWSJfDrERmj,spotify:track:6z1TvLTR0oOsWSJfDrERmj,https://api.spotify.com/v1/tracks/6z1TvLTR0oOsWSJfDrERmj,https://api.spotify.com/v1/audio-analysis/6z1TvLTR0oOsWSJfDrERmj,242182,4,0
0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,audio_features,6MCjmGYlw6mQVWRFVgBRvB,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,4,4
0.438,0.916,9,-4.136,0,0.144,0.0252,0.000787,0.121,0.395,162.937,audio_features,5zdyuqPOZ6oR6a4ZtqI1vl,spotify:track:5zdyuqPOZ6oR6a4ZtqI1vl,https://api.spotify.com/v1/tracks/5zdyuqPOZ6oR6a4ZtqI1vl,https://api.spotify.com/v1/audio-analysis/5zdyuqPOZ6oR6a4ZtqI1vl,202021,4,0
0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,audio_features,7ncPjJBktLEOpstY5JOUMK,spotify:track:7ncPjJBktLEOpstY5JOUMK,https://api.spotify.com/v1/tracks/7ncPjJBktLEOpstY5JOUMK,https://api.spotify.com/v1/audio-analysis/7ncPjJBktLEOpstY5JOUMK,190607,4,0
0.581,0.921,7,-3.373,0,0.0736,0.153,0.0,0.254,0.856,117.045,audio_features,5H37zP5tQCneoCRJEMRcnV,spotify:track:5H37zP5tQCneoCRJEMRcnV,https://api.spotify.com/v1/tracks/5H37zP5tQCneoCRJEMRcnV,https://api.spotify.com/v1/audio-analysis/5H37zP5tQCneoCRJEMRcnV,192920,4,3
0.531,0.731,2,-5.885,0,0.0522,0.0411,0.0,0.151,0.549,150.01,audio_features,45LUKiex0D78VuhP3Oz6mG,spotify:track:45LUKiex0D78VuhP3Oz6mG,https://api.spotify.com/v1/tracks/45LUKiex0D78VuhP3Oz6mG,https://api.spotify.com/v1/audio-analysis/45LUKiex0D78VuhP3Oz6mG,227320,4,0
0.632,0.924,5,-1.829,1,0.129,0.212,3.04e-06,0.0901,0.762,149.84,audio_features,7zbfS30vKiHU8oBs6Wi1Qp,spotify:track:7zbfS30vKiHU8oBs6Wi1Qp,https://api.spotify.com/v1/tracks/7zbfS30vKiHU8oBs6Wi1Qp,https://api.spotify.com/v1/audio-analysis/7zbfS30vKiHU8oBs6Wi1Qp,236960,4,4
0.547,0.796,1,-3.785,1,0.0368,0.285,1.05e-06,0.0487,0.797,169.901,audio_features,153lRbNmhQZVi69kbhmjY8,spotify:track:153lRbNmhQZVi69kbhmjY8,https://api.spotify.com/v1/tracks/153lRbNmhQZVi69kbhmjY8,https://api.spotify.com/v1/audio-analysis/153lRbNmhQZVi69kbhmjY8,222814,4,0
0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,audio_features,1zd35Y44Blc1CwwVbW3Qnk,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,4,4
0.418,0.855,2,-4.982,0,0.138,0.0325,0.0,0.33,0.45,118.886,audio_features,5VOPZfKO6Q03IAiVckyAvU,spotify:track:5VOPZfKO6Q03IAiVckyAvU,https://api.spotify.com/v1/tracks/5VOPZfKO6Q03IAiVckyAvU,https://api.spotify.com/v1/audio-analysis/5VOPZfKO6Q03IAiVckyAvU,214943,4,3
0.712,0.517,7,-10.157,1,0.0533,0.826,0.8,0.0949,0.686,157.038,audio_features,1YXot2MLAG9sttepCtBRM7,spotify:track:1YXot2MLAG9sttepCtBRM7,https://api.spotify.com/v1/tracks/1YXot2MLAG9sttepCtBRM7,https://api.spotify.com/v1/audio-analysis/1YXot2MLAG9sttepCtBRM7,229328,4,1
0.471,0.868,1,-2.291,1,0.0295,0.0384,0.0,0.297,0.811,173.969,audio_features,45YBVp6zMwQZRbUDcPzmMB,spotify:track:45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/tracks/45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/audio-analysis/45YBVp6zMwQZRbUDcPzmMB,288013,4,0
0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,audio_features,172fMG26G2OoEzzg0wn26r,spotify:track:172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/tracks/172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/audio-analysis/172fMG26G2OoEzzg0wn26r,276373,4,3
0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,audio_features,6ts1KCOudfDYXYfyWtq0k1,spotify:track:6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/tracks/6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/audio-analysis/6ts1KCOudfDYXYfyWtq0k1,188060,4,0
0.65,0.88,4,-5.326,1,0.0283,0.36,0.00369,0.23,0.921,124.985,audio_features,5j7ixaLeGTGSv4DzKs0pCM,spotify:track:5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/tracks/5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/audio-analysis/5j7ixaLeGTGSv4DzKs0pCM,242913,4,4
0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,audio_features,6IO5nn84TKArsi3cjpIqaD,spotify:track:6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/audio-analysis/6IO5nn84TKArsi3cjpIqaD,242067,4,4
0.595,0.83,4,-3.836,0,0.0379,0.046,0.0,0.361,0.494,139.922,audio_features,4OQq1bcP12GQQXJNupxqfR,spotify:track:4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/tracks/4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/audio-analysis/4OQq1bcP12GQQXJNupxqfR,254347,4,4
0.543,0.965,4,-2.727,0,0.0905,0.0142,5.83e-05,0.366,0.646,170.051,audio_features,1VoTe7qVyqyMNLgZpQeugO,spotify:track:1VoTe7qVyqyMNLgZpQeugO,https://api.spotify.com/v1/tracks/1VoTe7qVyqyMNLgZpQeugO,https://api.spotify.com/v1/audio-analysis/1VoTe7qVyqyMNLgZpQeugO,192400,4,0
0.679,0.931,1,-3.74,0,0.0474,0.00466,0.0,0.0652,0.962,121.001,audio_features,7AqUE5AY514dbzeOAfJRa0,spotify:track:7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/tracks/7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/audio-analysis/7AqUE5AY514dbzeOAfJRa0,243813,4,4
0.505,0.921,0,-3.79,1,0.0648,0.0871,0.0,0.352,0.788,184.93,audio_features,7eUt3Ed2PSocfPSVaNhAEI,spotify:track:7eUt3Ed2PSocfPSVaNhAEI,https://api.spotify.com/v1/tracks/7eUt3Ed2PSocfPSVaNhAEI,https://api.spotify.com/v1/audio-analysis/7eUt3Ed2PSocfPSVaNhAEI,167973,4,0
